fighter_name,image_url
Daikiko,https://static.wikia.nocookie.net/sumowrestling/images/8/8f/Daikiko-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210407135510
Chiyonofuji,https://media.gettyimages.com/photos/chiyonofuji-mitsugu-born-as-akimoto-mitsugu-appears-in-a-ceremony-a-picture-id511233998?s=612x612
Daijuyama,https://alchetron.com/cdn/daijuyama-tadaaki-f2c4bfe5-ada8-4356-bd62-5885790ec96-resize-750.jpeg
Onokuni,https://upload.wikimedia.org/wikipedia/commons/5/5e/Onokuni_08_Sep.jpg
Itai,"https://www.amnesty.org/remote.axd/aineupstrmediaprd.blob.core.windows.net/media/11361/222428_itai_dzamara.jpg?center=0.5,0.5&preset=fixed_1200_630"
Jingaku,http://sumodb.sumogames.de/pics/1348.jpg
Takanofuji,https://i1.wp.com/tachiai.org/wp-content/uploads/2019/09/takanofuji.jpg?fit=640%2C360&ssl=1
Tochitsukasa,http://sumodb.sumogames.de/pics/1337.jpg
Owakamatsu,https://static.wikia.nocookie.net/gekkan-shoujo-nozakikun/images/f/f3/Hirotaka_Wakamatsu.png/revision/latest?cb=20140816172132
Asahifuji,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Asahifuji_Seiya_Isegahama_IMG_5621-3_20170304.jpg/220px-Asahifuji_Seiya_Isegahama_IMG_5621-3_20170304.jpg
Ozutsu,https://64.media.tumblr.com/dc0824537836eb4deb63b245b8185490/tumblr_o49f2oPHuY1rwjpnyo1_500.jpg
Hokutoumi,https://upload.wikimedia.org/wikipedia/commons/1/18/Hokutoumi_Nobuyoshi_Hakkaku_IMG_5617-2_20170304.jpg
Wakasegawa,https://www.messynessychic.com/wp-content/uploads/2017/01/thomassonwinston-1.jpg
Sakahoko,https://upload.wikimedia.org/wikipedia/commons/5/52/Sakahoko_09_Sep.JPG
Tsunenoyama,https://static.wikia.nocookie.net/sumowrestling/images/3/38/Tsunenoyama-main.jpg/revision/latest?cb=20210406232135
Tachihikari,https://static.wikia.nocookie.net/puroresusystem/images/6/64/Tachihikari.jpg/revision/latest/top-crop/width/360/height/450?cb=20190426081157
Ryogoku,https://www.japan-guide.com/g18/3022_01.jpg
Hananokuni,https://image.shutterstock.com/image-photo/yokosuka-kanagawa-japan-apr-6-260nw-1410712886.jpg
Kirinishiki,http://plants.homesteadgardens.com/Content/Images/Photos/G001-11.jpg
Kyokugozan,http://sumodb.sumogames.de/pics/1305.jpg
Enazakura,http://sumodb.sumogames.de/pics/1315.jpg
Tochinofuji,http://sumodb.sumogames.de/pics/67.jpg
Hitachiryu,https://static.wikia.nocookie.net/sumowrestling/images/b/b3/Hitachiryu-main.jpg/revision/latest?cb=20210403125622
Tomoefuji,https://static.wikia.nocookie.net/sumowrestling/images/d/d3/Tomoefuji-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210407013259
Tatsuhikari,https://static.wikia.nocookie.net/sumowrestling/images/a/af/Tgrkw%E3%81%91frhfjklqsw%E3%81%A7frgtr%E3%81%B5%E3%81%87dw%E3%81%9Bfrtg.jpg/revision/latest?cb=20210408021655
Tamakairiki,https://media.timeout.com/images/105321777/image.jpg
Kototsubaki,https://static.wikia.nocookie.net/sumowrestling/images/8/81/Kototsubaki-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210407170355
Daishoyama,https://upload.wikimedia.org/wikipedia/commons/9/92/Daishoyama_09_Sep.JPG
Toyonoumi,https://i.ebayimg.com/images/g/oDYAAOSwkNReKUae/s-l400.jpg
Asahisato,https://static.wikia.nocookie.net/sumowrestling/images/9/96/Asahisato-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210410155223
Kotofuji,http://sumodb.sumogames.de/pics/1303.jpg
Kotogaume,https://rimage.gnst.jp/rest/img/rnnf4v4u0000/s_0n5f.jpg?dt=1554369200
Takamisugi,https://upload.wikimedia.org/wikipedia/commons/d/d5/Takamisugi_Takakatsu_Chiganoura_IMG_0800-1_20190518.jpg
Tokitsunada,https://static.wikia.nocookie.net/sumowrestling/images/d/da/Tokitsunada-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210403211129
Kiraiho,https://thesupernaturalfoxsisters.files.wordpress.com/2015/06/gumiho-spirit.png
Tomonohana,https://upload.wikimedia.org/wikipedia/commons/d/df/Tomonohana_2011.JPG
