id,rank,rikishi,heya,shusshin,birth_date,height,weight
1310,M11w,Kirinishiki,Kagamiyama,Gunma,1962-08-31,188.0,180.0
1305,M16w,Kyokugozan,Oshima,Chiba,1968-09-18,182.0,176.0
1315,M15w,Enazakura,Oshiogawa,Gifu,1960-07-29,181.0,134.0
67,M11e,Tochinofuji,Kasugano,Fukuoka,1969-11-15,176.0,189.0
1306,M16w,Hitachiryu,Oshiogawa,Ibaraki,1969-10-19,179.0,133.0
157,M13w,Tomoefuji,Kokonoe,Akita,1971-01-27,192.0,151.0
160,M15e,Tatsuhikari,Tatsunami,Hokkaido,1969-10-25,192.0,183.0
1309,M9w,Tamakairiki,Kataonami,Tokyo,1966-07-16,183.0,141.0
1311,M16e,Kototsubaki,Sadogatake,Okinawa,1960-12-06,188.0,141.0
1307,M10w,Daishoyama,Tatsunami,Ishikawa,1966-07-07,181.0,181.0
60,M14w,Toyonoumi,Futagoyama,Fukuoka,1965-09-22,189.0,210.0
1285,M16e,Asahisato,Oshima,Osaka,1965-11-09,186.0,140.0
1303,M12e,Kotofuji,Sadogatake,Chiba,1964-10-28,191.0,141.0
1292,M16e,Kotogaume,Sadogatake,Toyama,1963-10-05,180.0,180.0
1302,M12w,Takamisugi,Futagoyama,Kanagawa,1961-03-01,179.0,145.0
53,M15e,Tokitsunada,Tokitsukaze,Tokushima,1969-08-02,187.0,173.0
1299,M13w,Kiraiho,Takadagawa,Kanagawa,1966-01-05,189.0,159.0
52,M14w,Tomonohana,Tatsunami,Kumamoto,1964-06-23,175.0,114.0
1301,M14w,Kirishima,Izutsu,Kagoshima,1959-04-03,186.0,124.0
1296,M10w,Kasugafuji,Ajigawa,Miyagi,1966-02-20,176.5,132.0
48,M11w,Oginohana,Dewanoumi,Chiba,1967-11-18,187.0,135.0
1290,M14w,Wakashoyo,Futagoyama,Tokyo,1966-03-08,182.0,164.0
1294,M14e,Naminohana,Futagoyama,Aomori,1969-03-19,178.0,130.0
1295,M14w,Kyokudozan,Oshima,Kagoshima,1964-10-14,182.5,104.5
45,M14e,Daishoho,Tatsunami,Hokkaido,1967-05-07,188.5,143.0
1288,M16e,Kotobeppu,Sadogatake,Oita,1965-10-17,177.0,178.5
49,M14w,Misugisato,Futagoyama,Shiga,1962-07-01,185.3,157.5
75,M15w,Daihisho,Asahiyama,Osaka,1973-08-30,195.0,175.5
1286,M6w,Kenko,Takadagawa,Osaka,1967-06-27,191.0,135.0
1289,M4w,Rikio,Naruto,Nara,1972-12-20,191.0,153.0
1287,M14e,Konishiki,Takasago,U.S.A.,1963-12-31,184.0,275.0
44,M15w,Kushimaumi,Dewanoumi,Wakayama,1965-08-06,187.0,199.0
42,M10w,Mainoumi,Dewanoumi,Aomori,1968-02-17,171.0,99.0
57,M16e,Yamato,Magaki,U.S.A.,1969-12-17,189.0,191.0
30,M11e,Kitakachidoki,Isenoumi,Hokkaido,1966-01-01,182.0,144.0
37,M14e,Kotoinazuma,Sadogatake,Gunma,1962-04-26,180.0,137.0
32,M14e,Akinoshu,Izutsu,Hiroshima,1969-01-17,179.0,117.0
21,M13e,Asahiyutaka,Oshima,Aichi,1968-09-10,190.0,132.0
46,M15e,Dewaarashi,Dewanoumi,Nagasaki,1970-07-28,186.0,186.0
28,M10e,Mitoizumi,Takasago,Ibaraki,1962-09-02,192.3,179.0
23,M9w,Tochinowaka,Kasugano,Wakayama,1962-05-22,190.0,154.5
27,M11e,Wakanojo,Magaki,Okinawa,1973-04-13,191.0,155.0
24,M14e,Ganyu,Kitanoumi,Hyogo,1970-08-06,185.0,172.5
54,M12w,Ohinode,Tatsunami,Hyogo,1970-01-19,184.0,151.5
3,Y2w,Wakanohana,Futagoyama,Tokyo,1971-01-20,178.5,124.5
12,M8w,Kotonishiki,Sadogatake,Gunma,1968-06-08,175.5,128.0
36,M12w,Asanosho,Wakamatsu,Kanagawa,1969-12-23,185.5,144.5
20,M12e,Shikishima,Tatsutagawa,Chiba,1970-12-15,184.5,185.5
1,Y1e,Akebono,Azumazeki,U.S.A.,1969-05-08,203.5,230.5
81,M14w,Wakakosho,Matsugane,Hyogo,1975-03-04,184.5,176.0
25,M11e,Hamanoshima,Mihogaseki,Kumamoto,1970-03-21,179.0,123.0
33,M9e,Terao,Izutsu,Kagoshima,1963-02-02,185.0,114.0
16,M15e,Minatofuji,Minato,Gunma,1968-07-06,186.0,168.5
62,M15e,Daishi,Oshiogawa,Ibaraki,1968-08-23,182.0,172.0
116,M15w,Wakatsutomu,Matsugane,Wakayama,1973-02-13,172.0,159.5
26,M13w,Higonoumi,Mihogaseki,Kumamoto,1969-09-23,183.5,152.5
138,M15e,Sentoryu,Tomozuna,U.S.A.,1969-07-16,176.0,140.5
69,M13w,Towanoyama,Dewanoumi,Tokyo,1977-07-10,192.0,202.0
15,M14e,Oginishiki,Dewanoumi,Chiba,1971-07-08,186.0,134.0
18,M14w,Takatoriki,Futagoyama,Hyogo,1967-09-28,180.0,144.0
874,M14e,Hamanishiki,Oitekaze,Kumamoto,1976-11-23,181.0,126.0
58,M15e,Oikari,Isenoumi,Kyoto,1972-06-16,176.0,133.0
51,M11e,Daizen,Nishonoseki,Osaka,1964-12-14,188.0,156.0
2,Y1w,Takanohana,Futagoyama,Tokyo,1972-08-12,185.0,161.0
9,M15w,Akinoshima,Futagoyama,Hiroshima,1967-03-16,175.0,148.6
22,M9e,Gojoro,Magaki,Miyagi,1973-08-18,191.0,156.4
11,M14w,Aogiyama,Tokitsukaze,Shiga,1970-02-18,181.5,146.0
4,Y1w,Musashimaru,Musashigawa,U.S.A.,1971-05-02,192.0,231.5
88,M15e,Tamarikido,Kataonami,Tokyo,1974-04-19,184.5,138.3
